No,PSRJ,ref_psr,RAJ,ra_err,ref_ra,DECJ,dec_err,ref_dec,ra_deg,dec_deg
1,J0002+6216,cwp+17,00:02:58.17,0.02,cwp+17,+62:16:09.4,0.1,cwp+17,0.742375,62.26927777777777
2,J0006+1834,cnt96,00:06:04.8,0.2,cn95,+18:34:59,4.0,cn95,1.52,18.583055555555557
3,J0007+7303,aaa+09c,00:07:01.7,0.2,awd+12,+73:03:07.4,0.8,awd+12,1.757083333333333,73.05205555555555
5,J0012+5431,dcm+23,00:12:23.3,0.1,dcm+23,+54:31:47,3.0,dcm+23,3.097083333333333,54.52972222222222
6,J0014+4746,dth78,00:14:17.75,0.04,hlk+04,+47:46:33.4,0.3,hlk+04,3.5739583333333327,47.77594444444444
7,J0021-0909,clh+20,00:21:51.47,0.03,clh+20,-09:09:58.7,1.1,clh+20,5.464458333333333,-9.166305555555557
8,J0023+0923,hrm+11,00:23:16.877498,7e-06,aab+21a,+09:23:23.8604,0.00023,aab+21a,5.820322908333333,9.389961222222222
9,J0024-7204aa,phl+16,00:24:05.67,0.0,mam+06,-72:04:52.62,0.0,mam+06,6.023624999999999,-72.08128333333333
10,J0024-7204ab,phl+16,00:24:08.1615,0.0005,frk+17,-72:04:47.602,0.002,frk+17,6.034006249999999,-72.07988944444445
11,J0024-7204ac,rgf+21,00:24:05.67,0.0,har10a,-72:04:05,0.0,har10a,6.023624999999999,-72.06805555555555
12,J0024-7204ad,rgf+21,00:24:05.67,0.0,har10a,-72:04:05,0.0,har10a,6.023624999999999,-72.06805555555555
13,J0024-7204C,mld+90,00:23:50.3546,0.0001,frk+17,-72:04:31.5048,0.0004,frk+17,5.959810833333333,-72.075418
14,J0024-7204D,mlr+91,00:24:13.88092,6e-05,frk+17,-72:04:43.8524,0.0002,frk+17,6.057837166666666,-72.07884788888889
15,J0024-7204E,mlr+91,00:24:11.10528,5e-05,frk+17,-72:05:20.1492,0.0002,frk+17,6.046271999999999,-72.08893033333332
16,J0024-7204F,mlr+91,00:24:03.85547,0.0001,frk+17,-72:04:42.8183,0.0002,frk+17,6.016064458333333,-72.07856063888889
17,J0024-7204G,rlm+95,00:24:07.9603,0.0001,frk+17,-72:04:39.7030,0.0005,frk+17,6.033167916666667,-72.07769527777778
18,J0024-7204H,mlr+91,00:24:06.7032,0.0002,frk+17,-72:04:06.8067,0.0006,frk+17,6.02793,-72.06855741666666
19,J0024-7204I,mlr+91,00:24:07.9347,0.0002,frk+17,-72:04:39.6815,0.0007,frk+17,6.033061249999999,-72.07768930555555
20,J0024-7204J,mlr+91,00:23:59.4077,0.0001,frk+17,-72:03:58.7908,0.0005,frk+17,5.997532083333334,-72.06633077777778
21,J0024-7204L,rlm+95,00:24:03.7721,0.0003,frk+17,-72:04:56.923,0.002,frk+17,6.015717083333333,-72.08247861111111
22,J0024-7204M,mlr+91,00:23:54.4899,0.0003,frk+17,-72:05:30.756,0.002,frk+17,5.977041249999999,-72.09187666666666
23,J0024-7204N,rlm+95,00:24:09.1880,0.0002,frk+17,-72:04:28.8907,0.0007,frk+17,6.038283333333333,-72.0746918611111
24,J0024-7204O,clf+00,00:24:04.65254,6e-05,frk+17,-72:04:53.7670,0.0002,frk+17,6.019385583333333,-72.08160194444444
26,J0024-7204Q,clf+00,00:24:16.4909,0.0001,frk+17,-72:04:25.1644,0.0006,frk+17,6.068712083333333,-72.07365677777777
27,J0024-7204R,clf+00,00:24:07.5851,0.0002,frk+17,-72:04:50.3954,0.0005,frk+17,6.031604583333333,-72.08066538888889
28,J0024-7204S,clf+00,00:24:03.9794,0.0001,frk+17,-72:04:42.3530,0.0004,frk+17,6.016580833333333,-72.07843138888889
29,J0024-7204T,clf+00,00:24:08.5491,0.0005,frk+17,-72:04:38.932,0.003,frk+17,6.035621249999999,-72.07748111111111
30,J0024-7204U,clf+00,00:24:09.8366,0.0001,frk+17,-72:03:59.6882,0.0004,frk+17,6.040985833333333,-72.06658005555555
31,J0024-7204V,clf+00,00:24:05.67,0.0,mam+06,-72:04:52.62,0.0,mam+06,6.023624999999999,-72.08128333333333
32,J0024-7204W,clf+00,00:24:06.058,0.001,rft+16,-72:04:49.088,0.002,rft+16,6.025241666666666,-72.08030222222222
33,J0024-7204X,fre08,00:24:22.38565,9e-05,rft+16,-72:01:17.4414,0.0007,rft+16,6.093273541666666,-72.0215115
34,J0024-7204Y,frk+17,00:24:01.4026,0.0001,frk+17,-72:04:41.8363,0.0004,frk+17,6.005844166666667,-72.07828786111111
35,J0024-7204Z,frk+17,00:24:06.041,0.002,frk+17,-72:05:01.480,0.006,frk+17,6.025170833333333,-72.08374444444443
36,J0026-1955,mss+20,00:26:36,0.0,mbs+22,-19:55:59,0.0,mbs+22,6.6499999999999995,-19.93305555555556
37,J0026+6320,jml+09,00:26:50.561,0.008,jml+09,+63:20:00.87,0.05,jml+09,6.7106708333333325,63.333575
38,J0030+0451,lzb+00,00:30:27.42750,3.8e-05,aab+21a,+04:51:39.7116,0.0013,aab+21a,7.6142812499999994,4.861031
39,J0033+57,hrk+08,00:33,0.0,hrk+08,+57,0.0,hrk+08,8.25,57.0
40,J0033+61,hrk+08,00:33,0.0,hrk+08,+61,0.0,hrk+08,8.25,61.0
41,J0034-0534,bhl+94,00:34:21.83422,8e-05,dcl+16,-05:34:36.722,0.003,dcl+16,8.590975916666666,-5.576867222222222
42,J0034-0721,lvw69a,00:34:08.8703,0.0001,cbv+09,-07:21:53.409,0.002,cbv+09,8.536959583333333,-7.364835833333333
43,J0034+69,slr+14,00:34,3.0,slr+14,+69:43,18.0,slr+14,8.499999999999998,69.71666666666667
44,J0036-1033,sbs+21,00:36:15.01,0.04,sbs+21,-10:33:14.2,0.9,sbs+21,9.062541666666664,-10.553944444444445
45,J0038-2501,acd+19,00:38:10.264,0.01,acd+19,-25:01:30.73,0.02,acd+19,9.542766666666665,-25.02520277777778
46,J0039+35,scb+19,00:39:06,12.0,scb+19,+35:45,3.0,scb+19,9.775,35.75
47,J0040+5716,dtws85,00:40:32.3899,0.0001,dgb+19,+57:16:24.833,0.001,dgb+19,10.134957916666666,57.27356472222222
49,J0045-7042,mfl+06,00:45:25.69,0.17,mfl+06,-70:42:07.1,1.3,mfl+06,11.357041666666666,-70.70197222222222
50,J0045-7319,mmh+91,00:45:35.16,0.07,kbm+96,-73:19:03.0,0.2,kbm+96,11.3965,-73.3175
51,J0048+3412,dtws85,00:48:33.98,0.021,hlk+04,+34:12:08.0,0.37,hlk+04,12.141583333333333,34.202222222222225
53,J0051+0423,snt97,00:51:30.1,0.2,snt97,+04:22:49,6.0,snt97,12.875416666666666,4.380277777777778
55,J0054+66,hrk+08,00:54,0.0,hrk+08,+66,0.0,hrk+08,13.499999999999998,66.0
57,J0054+6946,slr+14,00:54:59.116,0.0068,lsk+18,+69:46:16.85,0.035,lsk+18,13.746316666666665,69.77134722222222
58,J0055+5117,dtws85,00:55:45.3981,0.0001,dgb+19,+51:17:24.601,0.001,dgb+19,13.939158749999997,51.290166944444444
